branch,source,base,commit,status,endpoint,type,features,additions,deletions,old_path,path
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,A,h5-v2,页面,活动/红包/推广/下载,235,0,,h5-v2/src/views7/active/active.vue
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,其他,首页/导航/版面、构建/配置,1,0,,pc/config/index.js
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,A,pc,构建配置,主题/颜色/静态资源、构建/配置,-,-,,pc/configstatic/pc/images/pc_logo.png
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,A,pc,构建配置,主题/颜色/静态资源、构建/配置,-,-,,pc/configstatic/pc/images/qrbg.png
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,图片资源,首页/导航/版面、主题/颜色/静态资源,-,-,,pc/src/assets/images-v10/home/certified_4.png
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,图片资源,活动/红包/推广/下载、主题/颜色/静态资源,-,-,,pc/src/assets/images-v10/phone-buy/APPdownload_image.png
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,A,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/bg.png
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/bg_cp.png
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,A,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/logo.png
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,其他,未归类路径,1,0,,pc/src/lang/zh_CN.js
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,工具/混入,接口/状态/工具,3,3,,pc/src/utils/diswatch.js
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,页面,首页/导航/版面,50,39,,pc/src/views-v10/home/components/HomeHotGames.vue
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,页面,首页/导航/版面,18,15,,pc/src/views-v10/home/index.vue
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,页面,首页/导航/版面,100,148,,pc/src/views-v10/layout/SlideQuick.vue
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,页面,首页/导航/版面,38,48,,pc/src/views-v10/layout/popupNotice.vue
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,页面,聊天室/私聊,468,438,,pc/src/views/chatRoom/chatMain/chatFeature.vue
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,页面,首页/导航/版面、聊天室/私聊,368,319,,pc/src/views/chatRoom/chatMain/chatPrivate/index.vue
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,页面,首页/导航/版面、聊天室/私聊,1070,937,,pc/src/views/chatRoom/chatMain/index.vue
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,页面,个人中心/账户、代理/报表/团队,6,5,,pc/src/views/personalCenter/child_modal/agentReport/agentreport.vue
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,页面,个人中心/账户,57,12,,pc/src/views/personalCenter/child_modal/expand/common/expand_me_info.vue
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,页面,个人中心/账户,109,100,,pc/src/views/personalCenter/child_modal/expand/expand_me.vue
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,页面,个人中心/账户,197,154,,pc/src/views/personalCenter/personalCenter.vue
origin/8314-JSYL,远端,origin/BY-Demo-H5V2-PC,cedd8cec4,M,pc,主题样式,主题/颜色/静态资源,1504,1504,,pc/static/css/theme.less
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,构建/配置,2,2,,h5-v2/docs/.vuepress/config.js
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,其他,未归类路径,1,1,,h5-v2/docs/guide/README.md
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,2,2,,h5-v2/public/configstatic/h5/control/control.js
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/appIcon-144.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/appIcon-58.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/appIcon-80.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/favicon.ico
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,A,h5-v2,构建配置,活动/红包/推广/下载、主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/ic_promotion_logo.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/ic_reg_logo.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/logo.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/logofx.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/mb-logo.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-1125.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-1242.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-640.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-640x2.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,h5-v2,构建配置,主题/颜色/静态资源、构建/配置,-,-,,h5-v2/public/configstatic/h5/images/startup-750.png
